Round,Date,Home Team,Score,Away Team,Venue
1,"Sunday 24 March,0",Queensland Firebirds,68–59,Southern Steel,Brisbane Convention and Exhibition Centre
1,"Sunday 24 March,0",Adelaide Thunderbirds,49–42,Central Pulse,"Netball SA Stadium Adelaide"
1,"Sunday 24 March,0",Canterbury Tactix,46–69,Waikato Bay of Plenty Magic,"Trafalgar Centre Nelson"
1,"Monday 25 March,0",Northern Mystics,46–60,Melbourne Vixens,"Trusts Stadium Auckland"
1,"Monday 25 March,0",New South Wales Swifts,55–41,West Coast Fever,"State Sports Centre Sydney"
2,"Saturday 30 March,0",Canterbury Tactix,56–75,Southern Steel,"CBS Canterbury Arena Christchurch"
2,"Sunday 31 March,0",Melbourne Vixens,58–44,Adelaide Thunderbirds,"Hisense Arena Melbourne"
2,"Sunday 31 March,0",West Coast Fever,80–53,Northern Mystics,"Challenge Stadium Perth"
2,"Sunday 31 March,0",Waikato Bay of Plenty Magic,61–35,New South Wales Swifts,"ASB Baypark Arena Tauranga"
2,"Monday 1 April,0",Central Pulse,56–58,Queensland Firebirds,"Te Rauparaha Arena Porirua"
3,"Saturday 6 April,0",Southern Steel,54–60,Adelaide Thunderbirds,"Lion Foundation Arena Dunedin"
3,"Sunday 7 April,0",West Coast Fever,57–51,Waikato Bay of Plenty Magic,"Challenge Stadium Perth"
3,"Sunday 7 April,0",Northern Mystics,51–72,Queensland Firebirds,"Trusts Stadium Auckland"
3,"Monday 8 April,0",Central Pulse,55–49,New South Wales Swifts,"TSB Bank Arena Wellington"
3,"Monday 8 April,0",Melbourne Vixens,60–40,Canterbury Tactix,"Hisense Arena Melbourne"
4,"Sunday 14 April,0",Adelaide Thunderbirds,72–46,West Coast Fever,"Netball SA Stadium Adelaide"
4,"Sunday 14 April,0",Central Pulse,59–56,Southern Steel,"Arena Manawatu Palmerston North"
4,"Monday 15 April,0",Canterbury Tactix,80–78,Northern Mystics,"CBS Canterbury Arena Christchurch"
4,"Monday 15 April,0",New South Wales Swifts,53–61,Queensland Firebirds,Sydney Olympic Park Sports Centre
4,BYES:  Melbourne Vixens and Waikato Bay of Plenty Magic,,,,
5,"Sunday 21 April,0",Adelaide Thunderbirds,39–38,Melbourne Vixens,"Netball SA Stadium Adelaide"
5,"Sunday 21 April,0",West Coast Fever,71–51,New South Wales Swifts,"Challenge Stadium Perth"
5,"Sunday 21 April,0",Northern Mystics,69–68,Central Pulse,"Trusts Stadium Auckland"
5,"Monday 22 April,0",Waikato Bay of Plenty Magic,65–45,Canterbury Tactix,"ASB Baypark Arena Tauranga"
5,BYES:  Queensland Firebirds and Southern Steel,,,,
6,"Saturday 27 April,0",West Coast Fever,49–58,Melbourne Vixens,"Perth Arena Perth"
6,"Sunday 28 April,0",Queensland Firebirds,53–54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
6,"Sunday 28 April,0",Central Pulse,53–52,Waikato Bay of Plenty Magic,"TSB Bank Arena Wellington"
6,"Monday 29 April,0",Southern Steel,67–52,Northern Mystics,"Stadium Southland Velodrome Invercargill"
6,BYES:  New South Wales Swifts and Canterbury Tactix,,,,
7,"Sunday 5 May,0",Queensland Firebirds,63–54,West Coast Fever,Brisbane Convention and Exhibition Centre
